weights,values
5949,7082
9403,3773
6275,8534
4708,3232
8210,30
4127,825
6990,9737
4485,1276
7948,2119
2800,4465
2964,5975
3412,8732
9051,5751
6069,4977
3708,879
6685,4541
4986,6880
4446,5538
2556,8201
614,5449
8204,3661
4453,7010
4473,9850
7892,5659
1852,3163
545,7024
421,5113
9569,2915
9298,1865
2253,5493
5406,8789
7328,6463
1343,7649
8357,3692
2250,2941
6351,532
5649,6751
5985,6722
2520,6775
4981,332
7686,145
9965,70
2265,4283
7204,135
5784,5274
5543,3128
9580,5019
9114,7390
781,6342
3008,7032
979,6705
935,7487
3311,6748
5106,4117
9105,4833
9160,1020
3654,1951
2140,2665
2995,6926
8073,6977
6002,280
4548,7633
1273,8770
9896,8712
770,5515
5110,6819
3020,8011
8347,7816
4933,3931
8513,6730
7459,1091
3716,6208
2815,8282
7356,7221
9436,5409
2605,1551
2808,5663
4807,8216
1878,3592
473,7203
5054,8853
3826,9868
3590,9276
3179,6857
7324,6092
4648,9837
7351,321
373,5336
700,5566
6235,1823
2783,4399
8068,2839
9738,7460
4563,3627
2722,9033
5679,2480
3088,7042
7345,2077
8880,4517
8279,7111
5026,5042
8344,4135
1004,350
6127,6878
9901,377
2685,8275
7753,7360
5100,5172
6662,9479
9756,67
5442,8009
1658,3278
1278,5077
756,8820
7732,8313
4948,9780
3654,7373
4921,1272
7261,151
802,5554
2389,7602
4560,4134
9006,1133
9337,1406
3564,3590
3823,1128
9851,8333
9714,131
835,3197
7844,6342
6123,3484
7985,8154
5796,151
7567,4688
8747,1025
325,2514
3373,7151
4290,9018
3789,3060
8644,4026
48,4175
8947,5734
9685,7857
7989,6303
1124,8347
1150,8716
2273,2401
2899,6591
3026,9090
2603,559
1556,6977
1967,398
4629,2370
9814,4710
6070,1219
483,498
3173,8527
4911,8212
3855,7190
3636,3243
8475,6301
1643,2866
7818,7897
8435,3306
4867,7947
1015,730
8178,5186
5014,6222
4378,6376
3610,9058
9117,7536
7067,6320
9683,690
446,2815
3987,7012
9878,9715
5945,9884
720,5802
7066,6733
1763,6603
581,7603
9978,2395
7217,1090
1985,4582
5767,9800
7463,6499
2567,8666
969,3192
8561,7966
5139,4613
2904,817
901,32
3789,1074
161,3798
9416,1402
3668,2232
1541,9935
1538,8655
7109,9267
7476,6183
71,3781
4343,6908
1634,2372
2760,3786
7174,7401
5225,6526
8196,8978
6553,6102
3702,5716
8347,3537
569,4092
9873,1110
8026,9845
8315,2110
9921,4481
1534,6676
9363,4991
4480,8556
3926,4503
6119,3805
3386,9658
6053,7720
1186,8789
2079,2680
9369,3447
5610,1543
5627,6759
3950,8183
8038,9211
4217,186
9058,5304
6104,1908
2708,2798
4735,3489
3824,148
4180,9084
1560,4501
4534,3657
7141,4463
8790,5322
3119,1561
5624,701
3732,9211
9669,5892
2863,6625
1766,518
5680,9523
7948,3613
7541,8039
5439,8013
4020,8836
5190,953
9232,6205
199,1356
5723,6761
9585,4368
7435,8270
1881,8014
9244,309
5103,2221
2190,1334
6254,6937
2108,2822
8414,7709
2253,9446
6492,8607
7676,3823
2152,393
3548,9254
9506,1090
634,1798
1016,3567
6436,9818
7908,571
6657,1131
4499,1624
6967,4410
5927,5991
469,592
5459,3699
7387,2510
8769,8005
6196,2125
498,4297
3231,8235
6095,6919
1681,2689
9893,1820
7932,5369
7578,249
969,4574
561,9951
4025,5214
3319,8948
4605,2270
7548,6693
3058,6075
6706,5622
8389,4015
3753,7569
6188,6006
1211,2322
6230,7402
8908,2772
6863,2956
8614,2466
9323,3214
954,1640
9425,6009
2548,8099
4121,8292
3706,9028
1793,283
5526,2680
1260,1968
419,3082
4116,1795
855,4782
9582,4979
2251,9035
4315,5921
307,179
3973,6484
6557,1115
2549,6286
7092,9950
4395,4298
5805,9458
1311,3236
8867,8630
7997,5271
364,1226
2631,4916
6779,8335
8277,8580
8469,1574
4309,7449
337,4489
5775,2516
713,7473
3826,6765
2600,7397
413,5579
885,236
6238,3739
9732,2900
495,5183
5834,1449
9480,124
8948,7887
5854,3667
8583,8640
625,5277
5864,5935
6073,4506
8113,8099
5723,6541
923,2257
2298,3622
2142,2968
9505,9787
6296,8416
6046,7226
9593,4824
9546,9101
4084,6928
4483,3549
7302,6002
9649,2606
3490,9119
550,793
2985,9831
9120,1587
7576,3317
4194,1119
6437,8798
5103,8346
6057,1760
9079,8499
7166,678
2485,4056
3985,5549
110,3746
2546,9993
2238,86
547,7508
3975,2092
9482,2758
2444,9757
4733,2459
5069,4389
7012,9923
4833,665
5109,2297
673,4190
128,6845
9335,651
1407,3118
7588,5745
3196,1134
4167,9307
4285,810
746,1066
6668,8873
2143,6498
2518,1466
5028,3104
9943,9733
5483,9774
3484,9813
1637,6341
4735,5225
6931,1647
8734,6943
2431,812
6173,9130
8754,7166
8270,9357
7632,821
5661,7578
7053,6050
3896,235
5474,2323
1324,971
6527,1743
80,7923
5485,1708
2105,8694
1714,5121
9725,6610
5082,576
7888,6714
529,526
8433,5310
4662,4961
328,2004
4905,5268
1623,9964
6608,3793
9872,7021
8008,9558
2123,5370
7433,8128
4933,5130
8087,2395
5672,7404
4152,6499
9860,1140
3092,6590
4268,1873
3273,8146
7694,9949
7252,4586
2386,9872
7511,281
9351,9646
4375,8589
2035,4860
2874,4999
3034,9166
3543,1675
6847,7660
8830,3287
8120,972
308,2273
1242,5365
1024,1829
9380,2907
6202,8986
4424,9849
8993,9521
375,2872
3928,3618
5004,4147
9341,2967
1854,8714
8969,5329
3522,5270
8271,1863
7033,5668
2872,4680
6752,2332
7180,8561
3589,469
9537,2461
9529,1786
7452,6883
3823,1961
1178,9503
5542,4574
795,5536
4234,737
8528,188
2951,2853
59,6397
8088,5027
4871,63
3626,729
2411,9834
148,6228
7433,6333
4468,5753
5021,8611
995,8208
3662,7837
9463,8052
5879,7139
8200,845
9867,3040
4048,2178
7847,2542
7509,5565
1721,7953
6230,8869
5240,9957
5270,8012
4147,8847
3610,3696
8486,7224
3199,8122
3581,1844
3048,5896
4098,4278
4507,5651
8536,6927
2327,2832
4647,9863
9638,7925
8387,7058
9943,7052
5000,8475
3672,6528
6760,2530
5784,9661
6587,7840
3534,9730
8412,5672
9887,6520
6945,6541
7129,9671
6570,241
3985,5877
5329,8278
3487,7623
3764,3716
1962,9772
2611,8771
7984,908
6736,1849
2440,2215
4943,4787
8526,8705
4633,9201
6550,3326
531,1267
1767,3799
431,6762
1890,3749
4917,1977
3275,1750
3345,3652
1561,9532
2944,9209
5461,1595
5877,9576
1691,2375
4873,7644
9315,7648
6098,3286
8948,3027
2057,7819
7065,6076
8346,8782
1920,9261
3057,1750
6842,6175
5803,6737
1071,3285
5743,3628
8756,4758
7603,2355
2890,7359
193,6726
4610,6065
7396,3311
5483,3440
7037,1495
